旅館名稱,客房數,客房住用數,住用率,平均房價,房租收入,餐飲收入,總營業收入,客房部,餐飲部,管理部,其他部門,員工合計
*龍谷大飯店,"2,268","14,242",20.59%,"1,906","27,150,162","9,617,898","41,190,538",26,8,3,4,41
*阿里山賓館(歷史館),420,"5,686",44.39%,"5,556","31,590,595",0,"31,590,595",5,0,3,3,11
*名都觀光渡假大飯店,"1,164","3,781",10.65%,"2,369","8,958,067","16,562,015","26,266,171",19,25,17,0,61
*阿里山賓館(現代館),"1,248","28,872",75.85%,"5,289","152,713,387","96,695,826","254,876,001",44,44,16,13,117
*墾丁怡灣渡假酒店,"2,818","26,344",30.65%,"2,687","70,789,629","4,462,601","78,932,237",25,11,6,14,56
福容大飯店    淡水漁人碼頭,"2,376","30,085",41.51%,"4,140","124,557,688","145,351,175","290,892,517",36,61,44,15,156
大板根渡假酒店,"1,140","25,609",73.65%,"5,026","128,701,832","156,099,280","472,617,656",24,64,5,135,228
板橋凱撒大飯店,"4,800","64,175",43.84%,"3,333","213,877,845","103,630,132","335,356,053",48,75,30,33,186
台南大飯店,"1,824","27,633",49.67%,"2,072","57,262,573","89,194,373","156,964,141",34,56,34,0,124
大億麗緻酒店,"1,575","17,847",37.27%,"3,403","60,733,998","88,306,589","164,950,112",0,0,0,0,0
台糖長榮酒店(台南),"2,364","42,211",58.54%,"2,603","109,860,180","213,744,711","348,678,327",51,86,24,14,175
香格里拉台南遠東國際大飯店,"3,972","71,891",59.34%,"3,560","255,909,505","248,497,792","566,831,068",128,222,76,21,447
台南大員皇冠假日酒店,"2,767","50,379",59.70%,"3,301","166,305,733","175,775,777","378,129,020",56,99,71,10,236
蘭城晶英酒店,"2,316","43,886",62.13%,"9,317","408,903,290","490,713,802","1,003,285,075",75,191,36,48,350
長榮鳳凰酒店(礁溪),"2,772","51,542",60.96%,"5,677","292,585,508","203,874,647","578,328,177",80,83,52,44,259
綠舞國際觀光飯店,"1,248","17,790",46.74%,"4,756","84,605,889","46,156,689","153,995,637",77,84,47,22,230
麒麟大飯店,"2,004","23,188",37.94%,"3,399","78,812,287","20,531,563","102,167,867",44,21,12,7,84
娜路彎大酒店,"3,312","61,364",60.75%,"4,164","255,531,831","136,691,779","458,573,651",97,46,42,31,216
樂樂日暉溫泉酒店,576,"4,552",25.91%,"2,480","11,290,980",0,"11,296,120",2,0,1,1,4
耐斯王子大飯店,"2,940","38,538",42.98%,"2,224","85,699,567","128,834,965","225,414,285",49,91,26,13,179
